Sample,Study 2,Convergence
0,0.7044623434543603,Optimization terminated successfully.
1,0.6322907328372819,Optimization terminated successfully.
2,0.6465745449066163,Optimization terminated successfully.
3,0.7269160032272335,Optimization terminated successfully.
4,0.5557488322257993,Optimization terminated successfully.
5,0.6400303840637203,Optimization terminated successfully.
6,0.5830678045516829,Optimization terminated successfully.
7,0.5190800398588175,Optimization terminated successfully.
8,0.5623578906059259,Optimization terminated successfully.
9,0.6008853379636998,Optimization terminated successfully.
10,0.5179766654968256,Optimization terminated successfully.
11,0.553486549854278,Optimization terminated successfully.
12,0.5708724021911615,Optimization terminated successfully.
13,0.703676354885101,Optimization terminated successfully.
14,0.5720387667417521,Optimization terminated successfully.
15,0.6552842259407039,Optimization terminated successfully.
16,0.605656027793884,Optimization terminated successfully.
17,0.6697891235351559,Optimization terminated successfully.
18,0.8168419599533083,Optimization terminated successfully.
19,0.5414189815521238,Optimization terminated successfully.
20,0.6078367710113521,Optimization terminated successfully.
21,0.6018002033233645,Optimization terminated successfully.
22,0.8095836877822873,Optimization terminated successfully.
23,0.6775252819061275,Optimization terminated successfully.
24,0.6875782366216299,Optimization terminated successfully.
25,0.6369039297103878,Optimization terminated successfully.
26,0.536039829626679,Optimization terminated successfully.
27,0.6324823617935178,Optimization terminated successfully.
28,0.5283823162317275,Optimization terminated successfully.
29,0.4880122423171993,Optimization terminated successfully.
30,0.6849740505218505,Optimization terminated successfully.
31,0.6289275169372552,Optimization terminated successfully.
32,0.5306126587092874,Optimization terminated successfully.
33,0.6410882979631423,Optimization terminated successfully.
34,0.7002325773239133,Optimization terminated successfully.
35,0.6104801179841157,Optimization terminated successfully.
36,0.5924793213605877,Optimization terminated successfully.
37,0.6268612802028654,Optimization terminated successfully.
38,0.6298966370522974,Optimization terminated successfully.
39,0.7085201263427732,Optimization terminated successfully.
40,0.5919892907142636,Optimization terminated successfully.
41,0.7514642711728808,Optimization terminated successfully.
42,0.7201661586761472,Optimization terminated successfully.
43,0.6596851349808271,Optimization terminated successfully.
44,0.6088804244995116,Optimization terminated successfully.
45,0.6242742508649823,Optimization terminated successfully.
46,0.638557404425228,Optimization terminated successfully.
47,0.6221532672643655,Optimization terminated successfully.
48,0.6615486979950218,Optimization terminated successfully.
49,0.6048712506890295,Optimization terminated successfully.
50,0.5697810888290404,Optimization terminated successfully.
51,0.6185739457607268,Optimization terminated successfully.
52,0.5938544150441885,Optimization terminated successfully.
53,0.6194519817829125,Optimization terminated successfully.
54,0.5956230849027631,Optimization terminated successfully.
55,0.5440466649830336,Optimization terminated successfully.
56,0.6153459548950193,Optimization terminated successfully.
57,0.6203796863555904,Optimization terminated successfully.
58,0.5280241847038265,Optimization terminated successfully.
59,0.6696266174316403,Optimization terminated successfully.
60,0.7208030700683592,Optimization terminated successfully.
61,0.6166559308767317,Optimization terminated successfully.
62,0.599378907238133,Optimization terminated successfully.
63,0.69082193672657,Optimization terminated successfully.
64,0.5946400880813593,Optimization terminated successfully.
65,0.6467729806900022,Optimization terminated successfully.
66,0.6044657707214351,Optimization terminated successfully.
67,0.6679714679718013,Optimization terminated successfully.
68,0.6747119903564451,Optimization terminated successfully.
69,0.6631350040435788,Optimization terminated successfully.
70,0.6339254382997749,Optimization terminated successfully.
71,0.6381521217525004,Optimization terminated successfully.
72,0.6106472731567915,Optimization terminated successfully.
73,0.7085217952728271,Optimization terminated successfully.
74,0.635765266418457,Optimization terminated successfully.
75,0.5905539035797116,Optimization terminated successfully.
76,0.6390013217926023,Optimization terminated successfully.
77,0.7384087279438967,Optimization terminated successfully.
78,0.6584284424781797,Optimization terminated successfully.
79,0.6136803507804867,Optimization terminated successfully.
80,0.6665422931313514,Optimization terminated successfully.
81,0.6883022084832191,Optimization terminated successfully.
82,0.6010585784446447,Optimization terminated successfully.
83,0.6427674770355221,Optimization terminated successfully.
84,0.6306392673403022,Optimization terminated successfully.
85,0.6283803999423978,Optimization terminated successfully.
86,0.6172926425933839,Optimization terminated successfully.
87,0.6601641893386838,Optimization terminated successfully.
88,0.6291608333587642,Optimization terminated successfully.
89,0.6379672050476071,Optimization terminated successfully.
90,0.6586496353149411,Optimization terminated successfully.
91,0.6334074735641475,Optimization terminated successfully.
92,0.6349830120801923,Optimization terminated successfully.
93,0.5380637675523756,Optimization terminated successfully.
94,0.6417900860309599,Optimization terminated successfully.
95,0.6085507392883296,Optimization terminated successfully.
96,0.6241641521453851,Optimization terminated successfully.
97,0.7470835447311399,Optimization terminated successfully.
98,0.664479446411133,Optimization terminated successfully.
99,0.6026378154754637,Optimization terminated successfully.
100,0.6800915241241452,Optimization terminated successfully.
101,0.545629405882209,Optimization terminated successfully.
102,0.6366569757461547,Optimization terminated successfully.
103,0.6546706438064573,Optimization terminated successfully.
104,0.5974221169948574,Optimization terminated successfully.
105,0.4984862565994258,Optimization terminated successfully.
106,0.634978151321411,Optimization terminated successfully.
